Metka;dt;Цена на арматуру
меньше;01.12.2015;32500
меньше;01.19.2015;32000
меньше;01.26.2015;30700
меньше;02.02.2015;30300
меньше;02.09.2015;30300
меньше;02.16.2015;30100
меньше;02.23.2015;29400
меньше;03.02.2015;29200
меньше;03.09.2015;29000
меньше;03.16.2015;28700
меньше;03.23.2015;27800
меньше;03.30.2015;27200
меньше;04.06.2015;26600
меньше;04.13.2015;25700
меньше;04.20.2015;24800
меньше;04.27.2015;24700
меньше;05.04.2015;24300
меньше;05.11.2015;23900
больше;05.18.2015;24000
меньше;05.25.2015;23700
меньше;06.01.2015;23500
больше;06.08.2015;23800
больше;06.15.2015;24400
больше;06.22.2015;25000
больше;06.29.2015;25300
больше;07.06.2015;25500
меньше;07.13.2015;25500
меньше;07.20.2015;25400
меньше;07.27.2015;25200
меньше;08.03.2015;25000
меньше;08.10.2015;24700
меньше;08.17.2015;24400
меньше;08.24.2015;24100
меньше;08.31.2015;24100
меньше;09.07.2015;23900
больше;09.14.2015;24200
меньше;09.21.2015;24200
меньше;09.28.2015;24000
меньше;10.05.2015;24000
меньше;10.12.2015;23800
меньше;10.19.2015;23800
больше;10.26.2015;24200
больше;11.02.2015;24500
меньше;11.09.2015;24500
меньше;11.16.2015;23950
меньше;11.23.2015;23750
меньше;11.30.2015;23100
меньше;12.07.2015;22800
меньше;12.14.2015;22000
меньше;12.21.2015;21700
меньше;12.28.2015;21300
меньше;01.04.2016;21300
меньше;01.11.2016;21300
меньше;01.18.2016;21200
меньше;01.25.2016;21000
меньше;02.01.2016;21000
меньше;02.08.2016;21000
больше;02.15.2016;21200
больше;02.22.2016;21800
больше;02.29.2016;22450
больше;03.07.2016;23300
больше;03.14.2016;23800
больше;03.21.2016;25500
больше;03.28.2016;26700
больше;04.04.2016;29900
больше;04.11.2016;29950
больше;04.18.2016;31500
больше;04.25.2016;31900
больше;05.02.2016;40300
больше;05.09.2016;43500
меньше;05.16.2016;43350
меньше;05.23.2016;42950
меньше;05.30.2016;42000
меньше;06.06.2016;38300
меньше;06.13.2016;37500
меньше;06.20.2016;36800
меньше;06.27.2016;35400
меньше;07.04.2016;34400
меньше;07.11.2016;33400
меньше;07.18.2016;32500
меньше;07.25.2016;32000
меньше;08.01.2016;31000
меньше;08.08.2016;30200
меньше;08.15.2016;29200
меньше;08.22.2016;28850
меньше;08.29.2016;28700
меньше;09.05.2016;28500
больше;09.12.2016;30000
больше;09.19.2016;32000
больше;09.26.2016;32500
больше;10.03.2016;33300
больше;10.10.2016;34300
меньше;10.17.2016;33700
меньше;10.24.2016;32200
меньше;10.31.2016;30400
меньше;11.07.2016;30200
меньше;11.14.2016;29800
больше;11.21.2016;33500
меньше;11.28.2016;33500
меньше;12.05.2016;33500
меньше;12.12.2016;33500
меньше;12.19.2016;33000
меньше;12.26.2016;32500
больше;01.02.2017;33750
меньше;01.09.2017;33750
меньше;01.16.2017;33750
меньше;01.23.2017;33750
меньше;01.30.2017;33000
меньше;02.06.2017;32600
меньше;02.13.2017;32000
меньше;02.20.2017;31300
меньше;02.27.2017;30300
больше;03.06.2017;30500
больше;03.13.2017;30700
меньше;03.20.2017;30600
меньше;03.27.2017;30400
меньше;04.03.2017;29800
меньше;04.10.2017;29500
меньше;04.17.2017;28200
меньше;04.24.2017;27500
меньше;05.01.2017;26500
меньше;05.08.2017;26300
меньше;05.15.2017;26300
меньше;05.22.2017;26200
меньше;05.29.2017;26150
меньше;06.05.2017;26150
меньше;06.12.2017;26150
больше;06.19.2017;26350
больше;06.26.2017;26550
больше;07.03.2017;26650
больше;07.10.2017;28000
больше;07.17.2017;28800
больше;07.24.2017;29400
меньше;07.31.2017;29400
больше;08.07.2017;30900
больше;08.14.2017;33900
больше;08.21.2017;35900
больше;08.28.2017;36800
больше;09.04.2017;38600
больше;09.11.2017;39600
меньше;09.18.2017;38800
меньше;09.25.2017;38800
меньше;10.02.2017;37500
меньше;10.09.2017;37000
меньше;10.16.2017;35800
меньше;10.23.2017;33800
меньше;10.30.2017;31500
меньше;11.06.2017;30000
больше;11.13.2017;32500
меньше;11.20.2017;32500
меньше;11.27.2017;32000
меньше;12.04.2017;31500
больше;12.11.2017;31700
больше;12.18.2017;31800
больше;12.25.2017;34600
больше;01.01.2018;35600
меньше;01.08.2018;35600
меньше;01.15.2018;35600
меньше;01.22.2018;35300
меньше;01.29.2018;34500
меньше;02.05.2018;33700
больше;02.12.2018;34000
меньше;02.19.2018;33900
меньше;02.26.2018;32700
больше;03.05.2018;32900
больше;03.12.2018;33300
больше;03.19.2018;33600
больше;03.26.2018;34800
больше;04.02.2018;36100
меньше;04.09.2018;36100
меньше;04.16.2018;35900
меньше;04.23.2018;35900
больше;04.30.2018;36400
больше;05.07.2018;37900
меньше;05.14.2018;37700
больше;05.21.2018;37900
меньше;05.28.2018;37900
меньше;06.04.2018;37600
меньше;06.11.2018;37400
меньше;06.18.2018;37400
меньше;06.25.2018;37100
меньше;07.02.2018;37100
больше;07.09.2018;37200
больше;07.16.2018;37800
меньше;07.23.2018;37500
меньше;07.30.2018;37500
больше;08.06.2018;39400
больше;08.13.2018;39650
больше;08.20.2018;40750
больше;08.27.2018;43100
больше;09.03.2018;48700
больше;09.10.2018;48850
меньше;09.17.2018;48350
меньше;09.24.2018;44600
меньше;10.01.2018;42600
меньше;10.08.2018;41500
меньше;10.15.2018;40800
меньше;10.22.2018;39700
меньше;10.29.2018;39500
меньше;11.05.2018;38800
меньше;11.12.2018;38300
меньше;11.19.2018;38000
меньше;11.26.2018;37600
меньше;12.03.2018;37600
меньше;12.10.2018;37300
меньше;12.17.2018;37000
меньше;12.24.2018;36700
меньше;12.31.2018;36000
меньше;01.07.2019;36000
меньше;01.14.2019;35700
меньше;01.21.2019;35300
меньше;01.28.2019;34000
меньше;02.04.2019;33800
больше;02.11.2019;34550
больше;02.18.2019;36000
больше;02.25.2019;37700
больше;03.04.2019;40200
меньше;03.11.2019;40200
меньше;03.18.2019;39900
меньше;03.25.2019;39400
меньше;04.01.2019;39300
больше;04.08.2019;39500
меньше;04.15.2019;39500
меньше;04.22.2019;39300
меньше;04.29.2019;39300
меньше;05.06.2019;39300
больше;05.13.2019;40300
меньше;05.20.2019;40000
больше;05.27.2019;40200
меньше;06.03.2019;40200
больше;06.10.2019;40300
больше;06.17.2019;41500
меньше;06.24.2019;40500
меньше;07.01.2019;40500
меньше;07.08.2019;40300
меньше;07.15.2019;39800
меньше;07.22.2019;39800
больше;07.29.2019;40200
больше;08.05.2019;40300
меньше;08.12.2019;39200
меньше;08.19.2019;38700
меньше;08.26.2019;38200
меньше;09.02.2019;37700
меньше;09.09.2019;36900
меньше;09.16.2019;36200
меньше;09.23.2019;35000
меньше;09.30.2019;34200
меньше;10.07.2019;33500
меньше;10.14.2019;33300
больше;10.21.2019;33500
меньше;10.28.2019;33300
больше;11.04.2019;33800
меньше;11.11.2019;33500
меньше;11.18.2019;32300
меньше;11.25.2019;32200
меньше;12.02.2019;31800
меньше;12.09.2019;31100
меньше;12.16.2019;30600
больше;12.23.2019;31400
больше;12.30.2019;32900
меньше;01.06.2020;32900
больше;01.13.2020;33400
